date,year,month,T11,T27,T52,T74,T77,T81,T100,T127,T131,T138,financial_1,financial_2,financial_3,economic_1,economic_2,economic_3,economic_4,economic_5,economic_6,economic_7,economic_8,economic_9,economic_10,economic_11,economic_12,d_gdp,ind_backcast,ind_nowcast,ind_forecast1Q,ind_forecast2Q
1992-01-31,1992,1,-0.000273912578948677,-0.00101374546801699,0.000183347742931849,-0.000373734399314195,-0.000418879623662815,-0.000959062165733308,-0.000581604290796677,-0.00011298331830906,-0.000822905849283264,-0.000522218616880789,6.64917079982965,-0.371652173913043,-0.296142292490118,3.82627057352884,1.20193754657842,6.69627647490776,-0.981087056425967,3.63630373631665,1.15441397468654,0.276243269590992,0.667113881702264,-0.505690078897381,0.118553659410203,1.03181798477463,3.54764187926762,NaN,0,0,0,0
1992-02-29,1992,2,0.000234292100432623,-0.000800067894524142,-0.000557908678941065,-0.000421042010784029,-0.000208241790683058,-0.000481910430412597,-0.000460426455114057,-2.68630796643825e-05,-0.000144164111528532,-0.000321207142374868,3.5581770340543,-0.0625978260869573,-0.0013804347826083,6.04366695557559,1.65880580838991,7.7991807355521,0.281294137661448,9.08012868335675,0.857148105014094,0.275482267884453,0.265604405811626,0.505690078897381,0.236686501026639,-0.0882056508801021,5.54931213778662,NaN,0,0,0,0
1992-03-31,1992,3,0.000114497215341236,-0.000108710496262289,-8.20748989626396e-05,0.000877584672198571,9.94156389781037e-05,0.000214692001860101,0.000591902299909312,9.31853526864757e-05,0.000717575922424444,-0.000171834862707926,-1.63981349686884,-0.0200681818181803,0.0537045454545453,-3.20883145515003,-2.86074335496833,-3.47514319709843,-0.84626739187339,0.495651538589925,-1.43268926207618,0.411805660891762,0.397088542949309,0.251889301948349,0.471698987813873,-0.918163803409833,-2.86045108445183,6.66267734624491,0,0,0,0
1992-04-30,1992,4,-0.000292803135228197,0.000239384001361576,0.00130643321690339,0.000304190837915282,-8.18040885238061e-05,4.10937873317524e-05,-1.00075408361106e-05,4.85877251030723e-05,-0.000447839844840317,-0.000311069558379477,0.565221857606968,0.0164090909090895,-0.000181818181817839,-1.64387263431598,-0.12099215027126,-2.04985215483413,-3.01963992310164,-1.98981144700845,0.288184637488875,0.54644944720792,0.395517984292759,0.376648279547709,0.235017734495369,-1.00374847781879,-2.53709550901764,NaN,0,0,0,0
1992-05-31,1992,5,0.000426326751057991,0.000453295819263017,-9.40120310032043e-05,0.000605063013095738,-0.000431835268560894,-0.000101318199396499,0.000251450702305762,-0.000112301120063746,-9.56845274552442e-05,-0.000574587077249957,4.42970296902772,0.0712424242424241,0.0172987012987011,1.02081765925233,-0.729043326267931,-1.91164722218788,-2.2141125877214,0.625512527471628,-0.577202179712177,0.272109011436061,0.131492458130911,-0.12539186595939,0.234466695925395,-0.579973271533696,0.496941972935083,NaN,0,0,0,0
1992-06-30,1992,6,-0.000462377579975526,-6.07188154438581e-05,0.000837685697234188,-0.000514985131571034,-0.000254449636643908,0.00041855246205604,0.000661284100507792,-0.000121480750927387,5.08514773057121e-05,-0.000678412521509483,-2.88734238118158,0.0226666666666677,0.0109740259740256,-1.02081765925233,-1.47422817372034,2.73663716940211,-2.26424767497591,-0.998066257785624,-1.01819061451192,0.271370587159581,0.654881187890499,0.375704887771189,0.233918235317176,-1.54355208911783,-1.40743379579025,-2.82057208795585,0,0,0,0
1992-07-31,1992,7,-0.000107922715671978,9.5791944181665e-05,-0.000595341858562035,-2.76788722863016e-06,-0.000421458834335608,-0.000784584444681285,-0.00036936649933984,-0.000460910642260555,-0.00100509082916763,-0.000707263080577249,-8.71444940741943,0.0500869565217386,0.0568893280632414,-2.80130362276738,-2.00006667066699,-4.56261608267754,-2.31670592815352,-0.913181415429065,-2.06802052375394,0.135409634772987,0.130463162666494,-0.250313021811799,0,-1.48111673435825,-3.10488093804029,NaN,0,0,0,0
1992-08-31,1992,8,6.37584222606041e-05,-0.000118771965810894,-0.000561682010578962,-9.93370139479554e-05,-0.000161409464467505,-0.000985518478592904,0.00020297108466432,-4.17456458983647e-05,-0.000347663255072193,-0.000674647355284392,-5.00477360739229,0.00900828157349842,-0.0591014492753628,3.43073134990615,0.503779402995708,-1.11180885839772,1.08781181471835,4.14853078789967,0.298062813813793,0.135226525001375,0,0,0.116754245603801,0.64407114849292,3.0526629230696,NaN,0,0,0,0
1992-09-30,1992,9,-0.000477749426335192,-0.000535627647851847,-0.00064293095557015,0.00029482764178731,0.000670746932867975,0.000400934168362842,0.000259131323749479,-8.70861771832573e-05,-0.000106354889417118,-0.000846081581230561,-3.99245081358881,-0.419458874458874,-0.33669696969697,-0.235571369245946,-1.01010959865038,1.54086253528449,0.61633477076688,-1.17501586642312,1.03627870355467,0.135043909787136,0.260416813838837,-0.12539186595939,0,-1.44664367472336,-0.559654762711581,-1.04419227673915,0,0,0,0
1992-10-31,1992,10,-0.000531165131538225,-0.00168994439953693,-0.000394110062543101,-0.000123876581863736,7.70613782705752e-05,0.000333081366337213,0.00050023099306168,-6.3106585735415e-05,-0.000330863206186327,-0.0010339824758812,1.32377677623028,-0.677,-0.265545454545454,-1.66472334331562,-0.126984144047615,1.75815380498001,-5.85147140614275,0.0616596778691303,-1.7831081643072,0.538359308347225,0.518807908177799,-0.125549294583216,-0.23364496610192,-0.457666702741211,-2.15277909829954,NaN,0,0,0,0
1992-11-30,1992,11,-0.000406267187513674,-0.00066971554820632,-0.00181656198939972,-0.00086624993288689,-0.000298817647856908,-0.000648489332155503,0.000195411893037697,-0.000261931509021382,-0.00111563083904163,-0.00107351184007458,3.65402059597111,-0.184207792207792,-0.0538051948051947,2.05703455656279,-1.53652190640559,-0.120264596576014,0.972454989199534,0.901282430218231,-0.60150557297618,0.268096675325769,0.258398076592492,0.125549294583216,0.11689072049812,-1.49520251896682,1.76348279950638,NaN,0,0,0,0
1992-12-31,1992,12,-0.00076156818225161,-0.000518328597967145,-0.000781444169384666,0.000319603285675494,-0.000515688807429603,0.000490024307313319,-0.000236118329567886,-0.000398473470221029,-0.00134603850849347,-0.00106072202878792,-0.433912301743078,-0.0251677018633538,-0.0239378881987582,7.02971627896316,-1.69164736667007,10.0112109799732,2.23294763980881,15.7626943892499,1.34833503372871,0,0.128949082987173,0,0,-0.963266014356989,6.51784761008063,-1.04692525646257,0,0,0,0
1993-01-31,1993,1,-0.00054867979900992,0.0015743706910258,-0.000772864076500644,0.000209255622128608,-0.000826935276179146,0.00048569354144433,0.000416195100363884,-0.000213165888817239,-0.000330505255311667,-0.00108909880163162,2.28831364268789,-0.265022774327123,-0.205728778467908,-6.71697169254362,-1.05541876786903,-5.77029278746384,-1.75024356497726,-13.5734723934334,-5.0353886145615,1.46182005095543,1.40757282341841,-0.125549294583216,0,-1.35734517013821,-6.3114759959058,NaN,0,0,0,0
1993-02-28,1993,2,-2.45298500815282e-05,0.000432471179802955,-0.000808390700462249,-0.000326786800696819,-0.000969266534704746,0.00054594630891874,5.13185856456072e-05,-0.00029245351112353,0.00101211008160404,-0.00122460249890117,6.51601226009078,-0.269988095238095,-0.157269047619048,0,-1.46963232901971,-2.57023494233684,-2.93180607566113,-6.36308166053929,-0.156617103274481,0.52631700442749,0.506971935025113,0.250941160542606,0,-2.56970414519646,-0.478334979975514,NaN,0,0,0,0
1993-03-31,1993,3,-0.000396269894392353,0.000186573802664408,8.69023215160294e-05,-0.000417282734645322,-0.0010206171549113,0.000723121189607679,-0.000670635660582703,-0.000210961838626541,0.000397988236478953,-0.00137322790381147,-0.189466046517239,-0.355945652173913,-0.331436956521739,3.6033028139645,0,4.05852801150779,-2.17218231468355,4.49572191005139,-0.156862777262656,0.131147559781031,0.252525386719427,0,-0.11689072049812,-0.547986085390217,3.65313723312806,-3.30828953515656,0,0,0,0
1993-04-30,1993,4,-0.00101512262235295,-0.00103866044652168,2.73357686935986e-05,-0.000936723338416362,-0.00137081775761619,-0.000487334563218813,-0.00131918723575378,-0.000146756374236711,-0.00103445433536521,-0.00147714182974433,-3.02777405998427,-0.00144071146245039,0.0426324110671938,-0.301659353942618,-0.81081525284219,-1.77706023489064,0.337268447863881,2.6295113409109,0,0.522877008279909,0.503145715536668,-0.250941160542606,0.11689072049812,-0.740206572710367,-0.414256017269565,NaN,0,0,0,0
1993-05-31,1993,5,-0.000547062286745914,-7.77643910570761e-05,-0.000167580717987867,-0.000196486348973135,-0.000968439552283782,-0.000640522225518276,-0.000285202718356586,5.38608501142778e-05,-0.00114922056140103,-0.00143954547345931,0.0233558906110432,0.0928030303030303,0.17421645021645,0.527308189815834,0,-2.45914031373227,2.16494716968532,-0.243716280380823,-1.58231149392423,0,0.12539186595939,0,-0.233918235317176,-0.951412328864532,0.332520423856231,NaN,0,0,0,0
1993-06-30,1993,6,-0.000867068888046932,-0.00147147933105145,0.000281111769317743,0.000417364554292027,-0.00108180602493314,-0.00283223936138158,-0.000782773292472441,-0.000131436894757485,-0.00121259515786466,-0.00151933404675003,4.43083241989832,0.0548787878787884,-0.0441709956709957,-1.28546193505557,-0.680737822802513,0.177672537115114,-1.49380371088661,0.90367957311237,-0.319489089651892,0.52015721960732,0.375234961855053,0,0,-1.3026607121323,-1.26242546992401,0.0503302926112781,0,0,0,0
1993-07-31,1993,7,-0.000473638895179114,0.00162037609941163,-0.000953357304381624,-0.00044126252581216,-0.000757274268498804,-0.000537894953319128,0.000198621431279364,-0.000420890298024453,-0.00118816131123455,-0.00182920336592271,6.9346671532708,-0.257681818181818,-0.199272727272728,-1.61108202726989,-2.34979712673047,5.52499535193256,1.16377040802096,0.248425825494891,-0.803217169726445,0.12961764614472,0.249376687840197,0.125549294583216,0.233918235317176,-0.492906151053152,-1.32589101874707,NaN,0,0,0,0
